gf_id	category	lemma	governed_case	representative_synsets	sources	source_details	validation_status	exact_lexicon_function	alternate_lexicon_functions	flags
afer_A	A	afër			Baseline LexiconSqi	near_A	baseline_lexicon_exact	near_A		lexicon_sqi_exact
autoritar_A	A	autoritar		01830403-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
bardhe_A	A	bardhë			Baseline LexiconSqi	white_A	baseline_lexicon_exact	white_A		lexicon_sqi_exact
bosh_A	A	bosh			Baseline LexiconSqi	empty_A	baseline_lexicon_exact	empty_A		lexicon_sqi_exact
budalla_A	A	budalla			Baseline LexiconSqi	stupid_A	baseline_lexicon_exact	stupid_A		lexicon_sqi_exact
bukur_A	A	bukur			Baseline LexiconSqi	beautiful_A	baseline_lexicon_exact	beautiful_A		lexicon_sqi_exact
burim_i_pare_A	A	burim i parë		01686439-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
dalloj_A	A	dalloj		01278080-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
drejt_A	A	drejt			Baseline LexiconSqi	straight_A	baseline_lexicon_exact	straight_A		lexicon_sqi_exact
e_madhe_A	A	e madhe		00803275-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
e_thelle_A	A	e thellë		00803275-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
fiksoj_A	A	fiksoj		00740217-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
fizik_A	A	fizik		00629997-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
ftohte_A	A	ftohtë			Baseline LexiconSqi	cold_A	baseline_lexicon_exact	cold_A		lexicon_sqi_exact
gati_A	A	gati			Baseline LexiconSqi	ready_A	baseline_lexicon_exact	ready_A		lexicon_sqi_exact
gjate_A	A	gjatë			Baseline LexiconSqi	long_A	baseline_lexicon_exact	long_A		lexicon_sqi_exact
gjelber_A	A	gjelbër			Baseline LexiconSqi	green_A	baseline_lexicon_exact	green_A		lexicon_sqi_exact
gjere_A	A	gjerë			Baseline LexiconSqi	broad_A | wide_A	baseline_lexicon_exact	broad_A	wide_A	lexicon_sqi_exact
gjeresisht_A	A	gjerësisht		01114658-a	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
