lemma	category	surface	raw_description	mapping_status	gf_feature_path	note
Epir	N	Epir	noun, masculine; ablative singular definite of	exact	s.Def.Ablat.Sg;g=Masc	
Epir	N	Epirit	noun, masculine; accusative singular indefinite of	exact	s.Indef.Acc.Sg;g=Masc	
Kosovë	N	Kosovës	noun, feminine; genitive singular definite of	exact	s.Def.Dat.Sg;g=Fem	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
Murat	N	Murati	noun, masculine; nominative singular definite of	exact	s.Def.Nom.Sg;g=Masc	
Shqipëri	N	Shqipëri	noun, feminine; accusative singular indefinite of	exact	s.Indef.Acc.Sg;g=Fem	
Shqipëri	N	Shqipërisë	noun, feminine; genitive singular definite of	exact	s.Def.Dat.Sg;g=Fem	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
aeroport	N	aeroportit	noun, masculine; genitive singular definite of	exact	s.Def.Dat.Sg;g=Masc	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
ai	Pron	ai|ajo|atij|e|i|saj	pronoun; accusative weak of | pronoun; dative of | pronoun; dative weak of | pronoun; feminine genitive of | pronoun; feminine nominative of | pronoun; masculine dative of | pronoun; masculine nominative of	ambiguous		source has 6 distinct forms but 7 analyses; alignment is not one-to-one
armë	N	armët	noun, feminine; accusative plural definite of	exact	s.Def.Acc.Pl;g=Fem	
asfalt	N	asfaltin	noun, masculine; accusative singular definite of	exact	s.Def.Acc.Sg;g=Masc	
ata	Pron	i	pronoun; accusative weak of	unmapped		category requires category-specific reviewed mapping
atdhe	N	atdheut	noun, masculine; genitive singular definite of	exact	s.Def.Dat.Sg;g=Masc	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
barabartë	A	barabarta	adjective; feminine plural of	ambiguous	s.*.Fem.Pl	source adjective description does not determine GF Case
barazi	N	barazinë	noun, feminine; accusative singular definite of	exact	s.Def.Acc.Sg;g=Fem	
barazi	N	barazisë	noun, feminine; genitive singular definite of	exact	s.Def.Dat.Sg;g=Fem	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
bashkë	Adv	bashkë	adverb;	exact	s	invariant/closed-category surface evidence
bazohem	V	bazohet	verb; 3rd person singular present indicative non-active of	exact	Indicative.Pres.Sg.P3	voice label retained as evidence metadata; current Verb table has no voice dimension
besnikëri	N	besnikërinë	noun, feminine; accusative singular definite of	exact	s.Def.Acc.Sg;g=Fem	
beton	N	betonin	noun, masculine; accusative singular definite of	exact	s.Def.Acc.Sg;g=Masc	
bie	V	binte	verb; 3rd person singular imperfect indicative active of	exact	Indicative.Imperfect.Sg.P3	voice label retained as evidence metadata; current Verb table has no voice dimension
bisedim	N	bisedimet	noun, masculine; nominative plural definite of	exact	s.Def.Nom.Pl;g=Masc	
boshnjak	A	boshnjake	adjective; feminine singular of	ambiguous	s.*.Fem.Sg	source adjective description does not determine GF Case
botëror	A	botërore	adjective; feminine singular of	ambiguous	s.*.Fem.Sg	source adjective description does not determine GF Case
breg	N	brigjet	noun, masculine; of nominative plural definite of	exact	s.Def.Nom.Pl;g=Masc	
bukur	A	bukur	adjective; masculine singular of	ambiguous	s.*.Masc.Sg	source adjective description does not determine GF Case
cili	Pron	cilat	pronoun; feminine plural of | pronoun; nominative feminine plural of	ambiguous		source has 1 distinct forms but 2 analyses; alignment is not one-to-one
cilido	A	cilindo	adjective; masculine accusative singular of	ambiguous	s.*.Masc.Sg	source adjective description does not determine GF Case
demokraci	N	demokracisë	noun, feminine; genitive singular definite of	exact	s.Def.Dat.Sg;g=Fem	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
demokratik	A	demokratik	adjective; masculine singular of	ambiguous	s.*.Masc.Sg	source adjective description does not determine GF Case
dhe	Conj	dhe	conjunction;	exact	s	invariant/closed-category surface evidence
di	V	dinte	verb; 3rd person singular imperfect indicative active of	exact	Indicative.Imperfect.Sg.P3	voice label retained as evidence metadata; current Verb table has no voice dimension
diell	N	diell	noun, masculine; accusative singular indefinite of	exact	s.Indef.Acc.Sg;g=Masc	
diçka	Pron	diçka	pronoun;	unmapped		category requires category-specific reviewed mapping
do	Marker	do	marker;	unmapped		category requires category-specific reviewed mapping
drejtë	N	drejtave	noun, feminine; accusative singular indefinite of	exact	s.Indef.Acc.Sg;g=Fem	
drejtë	N	drejtë	noun, feminine; genitive plural definite of	exact	s.Def.Dat.Pl;g=Fem	source genitive maps to the current morphological Dat/oblique cell; syntactic genitive linking is handled outside N morphology
