source_symbol,source_category,status,morphodict_ids,reason
add_V3,V3,mapped,shtoj_V,
airplane_N,N,mapped,aeroplan_N,
alas_Interj,Interj,mapped,medet_Interj,
already_Adv,Adv,mapped,tashmë_Adv,
animal_N,N,mapped,kafshë_N,
answer_V2S,V2S,mapped,përgjigjem_V,
apartment_N,N,mapped,apartament_N,
apple_N,N,mapped,mollë_N,
art_N,N,mapped,art_N,
ashes_N,N,mapped,hi_N,
ask_V2Q,V2Q,mapped,pyes_V,
baby_N,N,mapped,foshnjë_N,
back_N,N,mapped,shpinë_N,
bad_A,A,mapped,keq_A,
bank_N,N,mapped,bankë_N,
bark_N,N,mapped,lëvore_N,
beautiful_A,A,mapped,bukur_A,
become_VA,VA,mapped,bëhem_V,
beer_N,N,mapped,birrë_N,
beg_V2V,V2V,mapped,lutem_V,
belly_N,N,mapped,bark_N,
big_A,A,mapped,madh_A,
bike_N,N,mapped,biçikletë_N,
bird_N,N,mapped,zog_N,
bite_V2,V2,mapped,kafshoj_V,
black_A,A,mapped,zi_A,
blood_N,N,mapped,gjak_N,
blow_V,V,mapped,fryj_V,
blue_A,A,mapped,kaltër_A,
boat_N,N,mapped,varkë_N,
bone_N,N,mapped,kockë_N,
book_N,N,mapped,libër_N,
boot_N,N,mapped,çizme_N,
boss_N,N,mapped,shef_N,
boy_N,N,mapped,djalë_N,
bread_N,N,mapped,bukë_N,
break_V2,V2,mapped,thyej_V,
breast_N,N,mapped,gji_N,
breathe_V,V,mapped,frymoj_V,
broad_A,A,mapped,gjerë_A,
brother_N2,N2,mapped,vëlla_N,
brown_A,A,mapped,kafe_A,
burn_V,V,mapped,digjem_V,
butter_N,N,mapped,gjalpë_N,
buy_V2,V2,mapped,blej_V,
camera_N,N,mapped,kamerë_N,
cap_N,N,mapped,kapelë_N,
car_N,N,mapped,makinë_N,
carpet_N,N,mapped,qilim_N,
cat_N,N,mapped,mace_N,
ceiling_N,N,mapped,tavan_N,
chair_N,N,mapped,karrige_N,
cheese_N,N,mapped,djathë_N,
child_N,N,mapped,fëmijë_N,
church_N,N,mapped,kishë_N,
city_N,N,mapped,qytet_N,
clean_A,A,mapped,pastër_A,
clever_A,A,mapped,zgjuar_A,
close_V2,V2,mapped,mbyll_V,
cloud_N,N,mapped,re_N,
coat_N,N,mapped,pallto_N,
cold_A,A,mapped,ftohtë_A,
come_V,V,mapped,vij_V,
computer_N,N,mapped,kompjuter_N,
correct_A,A,mapped,saktë_A,
country_N,N,mapped,vend_N,
count_V2,V2,mapped,numëroj_V,
cousin_N,N,mapped,kushëri_N,
cow_N,N,mapped,lopë_N,
cut_V2,V2,mapped,pres_V,
day_N,N,mapped,ditë_N,
die_V,V,mapped,vdes_V,
dig_V,V,mapped,gërmoj_V,
dirty_A,A,mapped,pis_A,
distance_N3,N3,mapped,distancë_N,
doctor_N,N,mapped,mjek_N,
dog_N,N,mapped,qen_N,
door_N,N,mapped,derë_N,
do_V2,V2,mapped,bëj_V,
drink_V2,V2,mapped,pi_V,
dry_A,A,mapped,thatë_A,
dull_A,A,mapped,mërzitshëm_A,
dust_N,N,mapped,pluhur_N,
ear_N,N,mapped,vesh_N,
earth_N,N,mapped,tokë_N,
easy_A2V,A2V,mapped,lehtë_A,
eat_V2,V2,mapped,ha_V,
egg_N,N,mapped,vezë_N,
empty_A,A,mapped,bosh_A,
enemy_N,N,mapped,armik_N,
eye_N,N,mapped,sy_N,
factory_N,N,mapped,fabrikë_N,
fall_V,V,mapped,rrëzohem_V,
far_Adv,Adv,mapped,larg_Adv,
