section	symbol	english	sqi	english_lines	sqi_lines
Parameters	Gender	True	True	39:Gender : Type ; | 41:human     : Gender ; | 42:nonhuman  : Gender ; | 43:masculine : Gender ; --% | 44:feminine : Gender ; --% | 92:mkN : Gender -> N -> N ;  -- default nonhuman	5:Gender : Type = ResSqi.Gender ; | 8:masculine : Gender = Masc ; | 9:feminine  : Gender = Fem ; | 1227:mkNFull : NForms -> Gender -> N = \f,g -> lin N { | 1269:mkPN : Str -> Gender -> PN = \x,g -> lin PN { | 1272:mkPN : Str -> Str -> Str -> Str -> Gender -> PN = \nom,acc,dat,abl,g -> lin PN {
Parameters	Number	True	True	48:Number : Type ; | 50:singular : Number ; | 51:plural   : Number ; | 66:npNumber : NP -> Number ; -- exctract the number of a noun phrase | 150:mkLN : Str -> Number -> LN = \s,n -> | 272:mkConj : Str -> Number -> Conj ;        -- or (agrement number given as argument) --%	11:singular : Number = Sg ; | 12:plural   : Number = Pl ; | 1285:mkLN : Str -> Gender -> Number -> LN = \x,g,n -> lin LN { | 1288:mkLN : Str -> Str -> Str -> Str -> Gender -> Number -> LN = \nom,acc,dat,abl,g,n -> lin LN { | 1334:(pres,past,aor,imperf,subj,presOpt,perfOpt,presAdm,imperfAdm : Number => Person => Str) -> | 1335:(imp : Number => Str) -> Str -> V =
Parameters	Case	True	True	55:Case : Type ; --% | 57:nominative : Case ; --% | 58:genitive   : Case ; --% | 419:Case = ResEng.NPCase ;	6:Case   : Type = ResSqi.Case ; | 14:nominative : Case = Nom ; | 15:accusative : Case = Acc ; | 16:dative     : Case = Dat ; | 17:ablative   : Case = Ablat ; | 19:invariantCase : Str -> (Case => Str) = \x -> table {
Parameters	singular	True	True	50:singular : Number ; | 426:singular = Sg ; | 514:nounPN n = lin PN {s = n.s ! singular ; g = n.g} ;	11:singular : Number = Sg ;
Parameters	plural	True	True	51:plural   : Number ; | 80:mkN : (flash : Str) -> N ;  -- plural s, incl. flash-flashes, fly-flies | 84:mkN : (man,men : Str) -> N ; -- irregular plural | 271:mkConj : Str -> Conj ;                  -- and (plural agreement) --% | 273:mkConj : Str -> Str -> Conj ;           -- both ... and (plural) --% | 427:plural = Pl ;	12:plural   : Number = Pl ;
Parameters	nominative	True	True	57:nominative : Case ; --% | 428:nominative = npNom ;	14:nominative : Case = Nom ;
Parameters	genitive	True	False	58:genitive   : Case ; --% | 429:genitive = npGen ;	
Parameters	npNumber	True	False	66:npNumber : NP -> Number ; -- exctract the number of a noun phrase | 431:npNumber np = (fromAgr np.a).n ;	
Nouns	mkN	True	True	74:mkN : overload { | 80:mkN : (flash : Str) -> N ;  -- plural s, incl. flash-flashes, fly-flies | 84:mkN : (man,men : Str) -> N ; -- irregular plural | 88:mkN : (man,men,man's,men's : Str) -> N ; -- irregular genitives | 92:mkN : Gender -> N -> N ;  -- default nonhuman | 99:mkN : Str -> N -> N -- e.g. baby + boom	1244:mkN = overload { | 1245:mkN : Str -> N = regN;   -- s;Indef;Nom;Sg | 1246:mkN : Str -> Str -> N = reg2N   -- s;Indef;Nom;Sg  s;Indef;Nom;Pl | 1255:mkN2 : Str -> N2 = \x -> mkN2Core (mkN x) noPrep ; | 1256:mkN2 : Str -> Prep -> N2 = \x,p -> mkN2Core (mkN x) p ; | 1257:mkN2 : Str -> Str -> N2 = \x,p -> mkN2Core (mkN x) (mkPrep p) ;
Nouns	verbalN	True	False	106:verbalN : V -> N ; -- e.g. sing -> singing | 472:verbalN v =	
Nouns	mkN2	True	True	"111:mkN2 : overload { | 112:mkN2 : Str -> N2 ; -- reg. noun, prep. ""of"" --% | 113:mkN2 : N -> N2 ; -- e.g. wife of (default prep. to) | 114:mkN2 : N -> Str -> N2 ; -- access to --% | 115:mkN2 : N -> Prep -> N2 ; -- e.g. access to | 116:mkN2 : Str -> Str -> N2 ; -- access to (regular noun) --%"	1252:mkN2 = overload { | 1253:mkN2 : N -> N2 = \n -> mkN2Core n noPrep ; | 1254:mkN2 : N -> Prep -> N2 = \n,p -> mkN2Core n p ; | 1255:mkN2 : Str -> N2 = \x -> mkN2Core (mkN x) noPrep ; | 1256:mkN2 : Str -> Prep -> N2 = \x,p -> mkN2Core (mkN x) p ; | 1257:mkN2 : Str -> Str -> N2 = \x,p -> mkN2Core (mkN x) (mkPrep p) ;
Nouns	mkN3	True	True	124:mkN3 : N -> Prep -> Prep -> N3 ; -- e.g. connection from x to y | 498:mkN3 = \n,p,q -> lin N3 (n ** {c2 = p.s ; c3 = q.s}) ;	1260:mkN3 : N -> Prep -> Prep -> N3 = \n,p2,p3 ->
Names	mkPN	True	True	133:mkPN : overload { | 135:mkPN : Str -> PN ; | 136:mkPN : Str -> Gender -> PN ; | 140:mkPN : N -> PN --% | 481:mkPN = overload { | 482:mkPN : Str -> PN = regPN ;	1265:mkPN = overload { | 1266:mkPN : Str -> PN = \x -> lin PN { | 1269:mkPN : Str -> Gender -> PN = \x,g -> lin PN { | 1272:mkPN : Str -> Str -> Str -> Str -> Gender -> PN = \nom,acc,dat,abl,g -> lin PN { | 1276:mkPN : N -> PN = \n -> lin PN {
Names	mkLN	True	True	143:mkLN = overload { | 144:mkLN : Str -> LN = \s -> | 150:mkLN : Str -> Number -> LN = \s,n ->	1281:mkLN = overload { | 1282:mkLN : Str -> LN = \x -> lin LN { | 1285:mkLN : Str -> Gender -> Number -> LN = \x,g,n -> lin LN { | 1288:mkLN : Str -> Str -> Str -> Str -> Gender -> Number -> LN = \nom,acc,dat,abl,g,n -> lin LN {
Names	defLN	True	False	157:defLN : LN -> LN = \n -> n ** {art = True} ;	
Names	onLN	True	False	158:onLN : LN -> LN = \n -> n ** {prep = OnPrep} ;	
Names	atLN	True	False	159:atLN : LN -> LN = \n -> n ** {prep = AtPrep} ;	
Names	mkGN	True	True	161:mkGN = overload { | 162:mkGN : Str -> GN = \s -> | 166:mkGN : Str -> Sex -> GN = \s,g ->	1294:mkGN = overload { | 1295:mkGN : Str -> GN = \x -> lin GN {s=invariantCase x ; g=Masc} ; | 1296:mkGN : Str -> Gender -> GN = \x,g -> lin GN {s=invariantCase x ; g=g} ; | 1297:mkGN : Str -> Str -> Str -> Str -> Gender -> GN = \nom,acc,dat,abl,g -> lin GN {
Names	mkSN	True	True	171:mkSN = overload { | 172:mkSN : Str -> SN = \s -> | 175:mkSN : Str -> Str -> Str -> SN = \male,female,pl ->	1302:mkSN = overload { | 1303:mkSN : Str -> SN = \x -> lin SN { | 1306:mkSN : Str -> Str -> Str -> SN = \male,female,pl -> lin SN {
