class_id	file	mentions	allowed
mkN032	AlbanianSQI/GF/lib/src/albanian/LexiconSqi.gf	1	False
mkV008	AlbanianSQI/GF/lib/src/albanian/LexiconSqi.gf	1	False
mkN001	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	1	True
mkN002	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	64	True
mkN003	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	8	True
mkN005	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	49	True
mkN006	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	1	True
mkN007	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	44	True
mkN008	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	2	True
mkN009	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	11	True
mkN010	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	4	True
mkN011	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	10	True
mkN012	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	7	True
mkN013	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	50	True
mkN014	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	3	True
mkN017	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	47	True
mkN020	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	40	True
mkN022	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	2	True
mkN023	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	2	True
mkN027	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	6	True
mkN028	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	7	True
mkN030	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	2	True
mkN031	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	54	True
mkN032	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	4	True
