symbol	file	mentions
Species	AlbanianSQI/GF/lib/src/albanian/CatSqi.gf	3
Species	AlbanianSQI/GF/lib/src/albanian/ConjunctionSqi.gf	2
Species	AlbanianSQI/GF/lib/src/albanian/ExtendSqiHelpers.gf	1
Species	AlbanianSQI/GF/lib/src/albanian/ResSqi.gf	6
Indef	AlbanianSQI/GF/lib/src/albanian/AdverbSqi.gf	1
Indef	AlbanianSQI/GF/lib/src/albanian/CatSqi.gf	1
Indef	AlbanianSQI/GF/lib/src/albanian/ConstructionSqi.gf	6
Indef	AlbanianSQI/GF/lib/src/albanian/DictSqi.gf	1
Indef	AlbanianSQI/GF/lib/src/albanian/DocumentationSqi.gf	10
Indef	AlbanianSQI/GF/lib/src/albanian/ExtendSqiAPCN.gf	2
Indef	AlbanianSQI/GF/lib/src/albanian/ExtendSqiFocusPrep.gf	1
Indef	AlbanianSQI/GF/lib/src/albanian/ExtendSqiHelpers.gf	3
Indef	AlbanianSQI/GF/lib/src/albanian/ExtendSqiScaffolding.gf	4
Indef	AlbanianSQI/GF/lib/src/albanian/ExtraSqi.gf	1
Indef	AlbanianSQI/GF/lib/src/albanian/MorphoSqi.gf	570
Indef	AlbanianSQI/GF/lib/src/albanian/NounSqi.gf	4
Indef	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	9
Indef	AlbanianSQI/GF/lib/src/albanian/PhraseSqi.gf	2
Indef	AlbanianSQI/GF/lib/src/albanian/QuestionSqi.gf	1
Indef	AlbanianSQI/GF/lib/src/albanian/ResSqi.gf	6
Indef	AlbanianSQI/GF/lib/src/albanian/StructuralSqiRes.gf	2
Indef	AlbanianSQI/GF/lib/src/albanian/SymbolSqi.gf	4
Indef	AlbanianSQI/GF/lib/src/albanian/VerbSqi.gf	4
Indef	AlbanianSQI/GF/lib/src/morphodict/MorphoDictSqi.gf	1
Def	AlbanianSQI/GF/lib/src/albanian/ConjunctionSqi.gf	1
Def	AlbanianSQI/GF/lib/src/albanian/DictSqi.gf	1
Def	AlbanianSQI/GF/lib/src/albanian/DocumentationSqi.gf	9
Def	AlbanianSQI/GF/lib/src/albanian/ExtendSqiLexicon.gf	1
Def	AlbanianSQI/GF/lib/src/albanian/ExtendSqiRNP.gf	3
Def	AlbanianSQI/GF/lib/src/albanian/ExtendSqiScaffolding.gf	5
Def	AlbanianSQI/GF/lib/src/albanian/MorphoSqi.gf	570
Def	AlbanianSQI/GF/lib/src/albanian/NamesSqi.gf	1
Def	AlbanianSQI/GF/lib/src/albanian/NounSqi.gf	2
Def	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	2
Def	AlbanianSQI/GF/lib/src/albanian/ResSqi.gf	3
Def	AlbanianSQI/GF/lib/src/morphodict/MorphoDictSqi.gf	1
Case	AlbanianSQI/GF/lib/src/albanian/CatSqi.gf	16
Case	AlbanianSQI/GF/lib/src/albanian/ConjunctionSqi.gf	4
Case	AlbanianSQI/GF/lib/src/albanian/DocumentationSqi.gf	2
Case	AlbanianSQI/GF/lib/src/albanian/ExtendSqi.gf	2
Case	AlbanianSQI/GF/lib/src/albanian/ExtendSqiHelpers.gf	1
Case	AlbanianSQI/GF/lib/src/albanian/ExtendSqiRNP.gf	2
Case	AlbanianSQI/GF/lib/src/albanian/ExtendSqiVPS.gf	1
Case	AlbanianSQI/GF/lib/src/albanian/ExtraSqi.gf	2
Case	AlbanianSQI/GF/lib/src/albanian/LexiconSqi.gf	1
Case	AlbanianSQI/GF/lib/src/albanian/NamesSqi.gf	1
Case	AlbanianSQI/GF/lib/src/albanian/NounSqi.gf	4
Case	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	9
Case	AlbanianSQI/GF/lib/src/albanian/ResSqi.gf	13
Case	AlbanianSQI/GF/lib/src/albanian/SymbolSqi.gf	3
Case	AlbanianSQI/GF/lib/src/albanian/VerbSqi.gf	2
Nom	AlbanianSQI/GF/lib/src/albanian/AdjectiveSqi.gf	2
Nom	AlbanianSQI/GF/lib/src/albanian/AdverbSqi.gf	5
Nom	AlbanianSQI/GF/lib/src/albanian/CatSqi.gf	3
Nom	AlbanianSQI/GF/lib/src/albanian/ConstructionSqi.gf	7
Nom	AlbanianSQI/GF/lib/src/albanian/DictSqi.gf	3
Nom	AlbanianSQI/GF/lib/src/albanian/DocumentationSqi.gf	17
Nom	AlbanianSQI/GF/lib/src/albanian/ExtendSqiAPCN.gf	2
Nom	AlbanianSQI/GF/lib/src/albanian/ExtendSqiFocusPrep.gf	2
Nom	AlbanianSQI/GF/lib/src/albanian/ExtendSqiHelpers.gf	4
Nom	AlbanianSQI/GF/lib/src/albanian/ExtendSqiRNP.gf	1
Nom	AlbanianSQI/GF/lib/src/albanian/ExtendSqiScaffolding.gf	1
Nom	AlbanianSQI/GF/lib/src/albanian/ExtendSqiVPS.gf	4
Nom	AlbanianSQI/GF/lib/src/albanian/ExtraSqi.gf	3
Nom	AlbanianSQI/GF/lib/src/albanian/IdiomSqi.gf	2
Nom	AlbanianSQI/GF/lib/src/albanian/MorphoSqi.gf	1166
Nom	AlbanianSQI/GF/lib/src/albanian/NamesSqi.gf	1
Nom	AlbanianSQI/GF/lib/src/albanian/NounSqi.gf	2
Nom	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	22
Nom	AlbanianSQI/GF/lib/src/albanian/PhraseSqi.gf	5
Nom	AlbanianSQI/GF/lib/src/albanian/QuestionSqi.gf	4
Nom	AlbanianSQI/GF/lib/src/albanian/RelativeSqi.gf	1
Nom	AlbanianSQI/GF/lib/src/albanian/ResSqi.gf	8
Nom	AlbanianSQI/GF/lib/src/albanian/SentenceSqi.gf	3
Nom	AlbanianSQI/GF/lib/src/albanian/StructuralSqiNominal.gf	6
Nom	AlbanianSQI/GF/lib/src/albanian/StructuralSqiRes.gf	3
Nom	AlbanianSQI/GF/lib/src/albanian/SymbolSqi.gf	7
Nom	AlbanianSQI/GF/lib/src/albanian/VerbSqi.gf	5
Nom	AlbanianSQI/GF/lib/src/morphodict/MorphoDictSqi.gf	3
Acc	AlbanianSQI/GF/lib/src/albanian/ConstructionSqi.gf	6
Acc	AlbanianSQI/GF/lib/src/albanian/DictSqi.gf	3
Acc	AlbanianSQI/GF/lib/src/albanian/DocumentationSqi.gf	17
Acc	AlbanianSQI/GF/lib/src/albanian/ExtendSqiFocusPrep.gf	1
Acc	AlbanianSQI/GF/lib/src/albanian/ExtendSqiHelpers.gf	1
Acc	AlbanianSQI/GF/lib/src/albanian/ExtendSqiRNP.gf	1
Acc	AlbanianSQI/GF/lib/src/albanian/ExtendSqiScaffolding.gf	2
Acc	AlbanianSQI/GF/lib/src/albanian/ExtendSqiVPS.gf	4
Acc	AlbanianSQI/GF/lib/src/albanian/ExtraSqi.gf	1
Acc	AlbanianSQI/GF/lib/src/albanian/IdiomSqi.gf	2
Acc	AlbanianSQI/GF/lib/src/albanian/LexiconSqi.gf	1
Acc	AlbanianSQI/GF/lib/src/albanian/MorphoSqi.gf	1170
Acc	AlbanianSQI/GF/lib/src/albanian/NamesSqi.gf	1
Acc	AlbanianSQI/GF/lib/src/albanian/NounSqi.gf	2
Acc	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	12
Acc	AlbanianSQI/GF/lib/src/albanian/ResSqi.gf	10
Acc	AlbanianSQI/GF/lib/src/albanian/StructuralSqiClause.gf	8
Acc	AlbanianSQI/GF/lib/src/albanian/StructuralSqiNominal.gf	6
Acc	AlbanianSQI/GF/lib/src/albanian/StructuralSqiRes.gf	3
Acc	AlbanianSQI/GF/lib/src/albanian/SymbolSqi.gf	7
Acc	AlbanianSQI/GF/lib/src/albanian/VerbSqi.gf	1
Acc	AlbanianSQI/GF/lib/src/morphodict/MorphoDictSqi.gf	3
Dat	AlbanianSQI/GF/lib/src/albanian/DictSqi.gf	3
Dat	AlbanianSQI/GF/lib/src/albanian/DocumentationSqi.gf	17
Dat	AlbanianSQI/GF/lib/src/albanian/ExtendSqiHelpers.gf	1
Dat	AlbanianSQI/GF/lib/src/albanian/ExtendSqiRNP.gf	1
Dat	AlbanianSQI/GF/lib/src/albanian/ExtendSqiScaffolding.gf	4
Dat	AlbanianSQI/GF/lib/src/albanian/ExtendSqiVPS.gf	5
Dat	AlbanianSQI/GF/lib/src/albanian/MorphoSqi.gf	1174
Dat	AlbanianSQI/GF/lib/src/albanian/NounSqi.gf	3
Dat	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	10
Dat	AlbanianSQI/GF/lib/src/albanian/ResSqi.gf	9
Dat	AlbanianSQI/GF/lib/src/albanian/StructuralSqiClause.gf	1
Dat	AlbanianSQI/GF/lib/src/albanian/StructuralSqiNominal.gf	6
Dat	AlbanianSQI/GF/lib/src/albanian/StructuralSqiRes.gf	3
Dat	AlbanianSQI/GF/lib/src/albanian/SymbolSqi.gf	7
Dat	AlbanianSQI/GF/lib/src/albanian/VerbSqi.gf	2
Dat	AlbanianSQI/GF/lib/src/morphodict/MorphoDictSqi.gf	3
Ablat	AlbanianSQI/GF/lib/src/albanian/ConstructionSqi.gf	1
Ablat	AlbanianSQI/GF/lib/src/albanian/DictSqi.gf	3
Ablat	AlbanianSQI/GF/lib/src/albanian/DocumentationSqi.gf	17
Ablat	AlbanianSQI/GF/lib/src/albanian/ExtendSqiHelpers.gf	1
Ablat	AlbanianSQI/GF/lib/src/albanian/ExtendSqiRNP.gf	2
Ablat	AlbanianSQI/GF/lib/src/albanian/ExtendSqiScaffolding.gf	3
Ablat	AlbanianSQI/GF/lib/src/albanian/ExtendSqiVPBridge.gf	2
Ablat	AlbanianSQI/GF/lib/src/albanian/LexiconSqi.gf	1
Ablat	AlbanianSQI/GF/lib/src/albanian/MorphoSqi.gf	1166
Ablat	AlbanianSQI/GF/lib/src/albanian/NounSqi.gf	4
Ablat	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	10
Ablat	AlbanianSQI/GF/lib/src/albanian/ResSqi.gf	8
Ablat	AlbanianSQI/GF/lib/src/albanian/StructuralSqiClause.gf	12
Ablat	AlbanianSQI/GF/lib/src/albanian/StructuralSqiNominal.gf	6
Ablat	AlbanianSQI/GF/lib/src/albanian/StructuralSqiRes.gf	3
Ablat	AlbanianSQI/GF/lib/src/albanian/SymbolSqi.gf	7
Ablat	AlbanianSQI/GF/lib/src/morphodict/MorphoDictSqi.gf	3
Gender	AlbanianSQI/GF/lib/src/albanian/CatSqi.gf	9
Gender	AlbanianSQI/GF/lib/src/albanian/ConjunctionSqi.gf	3
Gender	AlbanianSQI/GF/lib/src/albanian/ConstructionSqi.gf	3
Gender	AlbanianSQI/GF/lib/src/albanian/DocumentationSqi.gf	1
Gender	AlbanianSQI/GF/lib/src/albanian/ExtendSqiHelpers.gf	4
Gender	AlbanianSQI/GF/lib/src/albanian/ExtendSqiLexicon.gf	1
Gender	AlbanianSQI/GF/lib/src/albanian/NounSqi.gf	3
Gender	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	11
Gender	AlbanianSQI/GF/lib/src/albanian/ResSqi.gf	12
Gender	AlbanianSQI/GF/lib/src/albanian/SymbolSqi.gf	2
Gender	AlbanianSQI/GF/lib/src/morphodict/MorphoDictSqi.gf	1
Masc	AlbanianSQI/GF/lib/src/albanian/AdverbSqi.gf	4
Masc	AlbanianSQI/GF/lib/src/albanian/CatSqi.gf	1
Masc	AlbanianSQI/GF/lib/src/albanian/ClauseSqiRes.gf	2
Masc	AlbanianSQI/GF/lib/src/albanian/ConstructionSqi.gf	9
Masc	AlbanianSQI/GF/lib/src/albanian/DictSqi.gf	4
Masc	AlbanianSQI/GF/lib/src/albanian/DocumentationSqi.gf	18
Masc	AlbanianSQI/GF/lib/src/albanian/ExtendSqiAPCN.gf	3
Masc	AlbanianSQI/GF/lib/src/albanian/ExtendSqiHelpers.gf	3
Masc	AlbanianSQI/GF/lib/src/albanian/ExtendSqiLexicon.gf	3
Masc	AlbanianSQI/GF/lib/src/albanian/ExtendSqiScaffolding.gf	3
Masc	AlbanianSQI/GF/lib/src/albanian/IdiomSqi.gf	1
Masc	AlbanianSQI/GF/lib/src/albanian/MorphoSqi.gf	434
Masc	AlbanianSQI/GF/lib/src/albanian/NamesSqi.gf	3
Masc	AlbanianSQI/GF/lib/src/albanian/NounSqi.gf	21
Masc	AlbanianSQI/GF/lib/src/albanian/ParadigmsSqi.gf	20
Masc	AlbanianSQI/GF/lib/src/albanian/PhraseSqi.gf	1
Masc	AlbanianSQI/GF/lib/src/albanian/QuestionSqi.gf	2
Masc	AlbanianSQI/GF/lib/src/albanian/ResSqi.gf	18
Masc	AlbanianSQI/GF/lib/src/albanian/StructuralSqiNominal.gf	14
Masc	AlbanianSQI/GF/lib/src/albanian/StructuralSqiRes.gf	9
Masc	AlbanianSQI/GF/lib/src/morphodict/MorphoDictSqi.gf	4
Fem	AlbanianSQI/GF/lib/src/albanian/ConstructionSqi.gf	9
Fem	AlbanianSQI/GF/lib/src/albanian/DictSqi.gf	4
Fem	AlbanianSQI/GF/lib/src/albanian/DocumentationSqi.gf	18
Fem	AlbanianSQI/GF/lib/src/albanian/ExtendSqiLexicon.gf	8
