a	autoritar	01830403-a
a	burim i parë	01686439-a
a	dalloj	01278080-a
a	e madhe	00803275-a
a	e thellë	00803275-a
a	fiksoj	00740217-a
a	fizik	00629997-a
a	gjerësisht	01114658-a
a	i ashpër	01513050-a
a	i bollshëm	01190683-a
a	i caktuar	00940870-a
a	i dytë	02070030-a
a	i famshëm	01278080-a
a	i fortë	01509527-a
a	i fuqishëm	01825671-a
a	i gjallë	01509527-a
a	i gjerë	01382086-a
a	i hollë	01455732-a
a	i imët	01415219-a
a	i keq	01513050-a
a	i lartë	01488616-a
a	i madh	02100031-a
a	i mirënjohur	00579622-a
a	i moshuar	02100031-a
a	i mprehtë	00803275-a
a	i ndryshëm	00969333-a
a	i pakët	01415219-a
a	i palëvizshëm	00740217-a
a	i parëndësishëm	01473353-a
a	i pavlerë	01473353-a
a	i pjekur	01488616-a
a	i përcaktuar	00740217-a
a	i përmbledhur	01442826-a
a	i rende	01190683-a
a	i rritur	01488616-a
a	i rëndësishëm	01830403-a
a	i shkurtër	01442826-a
a	i shpallur	00940870-a
a	i spikatur	00579622-a
a	i tmerrshëm	01513050-a
a	i vjetër	02100031-a
a	i vogël	01415219-a
a	i çuditshëm	00608791-a
a	jotradicionale	00608421-a
a	kristalizoj	00656862-a
a	kthjelloj	00656862-a
a	masë e vogël	01415219-a
a	material	00626800-a
a	me ngjyra	00394135-a
a	me rëndësi	00579622-a
a	mikroskopik	01391351-a
a	më i madh	02100031-a
a	më i vogël	01415219-a
a	ngjyrë	00394135-a
a	origjinal	00608421-a
a	pasues	00127948-a
a	shpirtmadh	01114658-a
a	shquaj	01278080-a
a	shumë i rëndësishëm	02161982-a
a	thelbësore	01578312-a
a	themelor	01578312-a
a	tjetër	00127948-a
a	vijues	00127948-a
a	zhvillim	01488616-a
n	24orë	15155220-n
n	60 minuta	15227846-n
n	Au	14638799-n
n	Europian	09686536-n
n	Fe	14642417-n
n	H2O	14845743-n
n	Hebre	09681351-n
n	Israelit	09681351-n
n	John Barleycorn	07901587-n
n	Lojë me pasa	00492871-n
n	P	14649197-n
n	Pb	14643467-n
n	Pu	14649775-n
n	S	14656219-n
n	Sn	14658855-n
n	abazhurë	03636649-n
n	abonim	06582403-n
n	abstraksion	00002137-n
n	abstrakt	05854150-n
n	absurditet	04891683-n
n	abuzim	00419908-n
n	acid	14607521-n
n	adapt	09762509-n
n	adet	00413239-n
n	administrator	09770949-n
n	administrator akademik	09758885-n
n	administrim	08164585-n
n	admirim	07491038-n
n	adresë	07238694-n
n	aerodrom	02692232-n
n	aerodrom i vogël	02687992-n
n	aerofit	13122985-n
n	aeroplan	02691156-n
