lemma	category	lexicon_function	rhs
shtoj	V3	add_V3	"mkV3 (mkV ""shtoj"") noPrep (mkPrep [] dative)"
aeroplan	N	airplane_N	"mkN032 ""aeroplan"""
medet	Interj	alas_Interj	"mkInterj ""medet"""
tashmë	Adv	already_Adv	"mkAdv ""tashmë"""
kafshë	N	animal_N	"mkN ""kafshë"""
përgjigjem	V2S	answer_V2S	"mkV2S (mkV ""përgjigjem"")"
apartament	N	apartment_N	"mkN ""apartament"""
mollë	N	apple_N	mkNFull appleNForms feminine
art	N	art_N	"mkN ""art"""
hi	N	ashes_N	"mkN ""hi"""
pyes	V2Q	ask_V2Q	"mkV2Q (mkV ""pyes"")"
foshnjë	N	baby_N	"mkN ""foshnjë"""
shpinë	N	back_N	"mkN ""shpinë"""
keq	A	bad_A	"mkA ""keq"""
bankë	N	bank_N	"mkN ""bankë"""
lëvore	N	bark_N	"mkN ""lëvore"""
bukur	A	beautiful_A	"mkA ""bukur"""
bëhem	VA	become_VA	mkVA (lin V I.behem_V)
birrë	N	beer_N	"mkN ""birrë"""
lutem	V2V	beg_V2V	"mkV2V (mkV ""lutem"")"
bark	N	belly_N	"mkN ""bark"""
madh	A	big_A	"mkA ""madh"""
biçikletë	N	bike_N	"mkN ""biçikletë"""
zog	N	bird_N	"mkN ""zog"""
kafshoj	V2	bite_V2	"mkV2 (mkV ""kafshoj"")"
zi	A	black_A	"mkA ""zi"""
gjak	N	blood_N	"mkN ""gjak"""
fryj	V	blow_V	"mkV ""fryj"""
kaltër	A	blue_A	"mkA ""kaltër"""
varkë	N	boat_N	"mkN ""varkë"""
kockë	N	bone_N	"mkN ""kockë"""
libër	N	book_N	mkNFull bookNForms masculine
çizme	N	boot_N	"mkN ""çizme"""
shef	N	boss_N	"mkN ""shef"""
djalë	N	boy_N	mkNFull boyNForms masculine
bukë	N	bread_N	"mkN ""bukë"""
thyej	V2	break_V2	"mkV2 (mkV ""thyej"")"
gji	N	breast_N	"mkN ""gji"""
frymoj	V	breathe_V	"mkV ""frymoj"""
gjerë	A	broad_A	"mkA ""gjerë"""
vëlla	N2	brother_N2	"mkN2 (mkN ""vëlla"") (mkPrep ""i"")"
kafe	A	brown_A	"mkA ""kafe"""
