category	lemma	case	reference_descriptor
Adv	bashkë		adverb;
Conj	dhe		conjunction;
Conj	e		conjunction;
Adv	edhe		adverb;
Prep	gjer	accusative	preposition, accusative;
Adv	gjithëmonë		adverb;
Adv	gjithmonë		adverb;
Adv	këtu		adverb;
Prep	kundrejt	ablative	preposition, ablative;
Adv	kur		adverb;
Prep	mbi	accusative	preposition, accusative;
Prep	me	accusative	preposition, accusative;
Adv	më		adverb;
Prep	midis	ablative	preposition, ablative;
Adv	mos		adverb;
Prep	në	accusative	preposition, accusative;
Prep	nën	accusative	preposition, accusative;
Prep	nga	nominative	preposition, nominative;
Adv	nuk		adverb;
Interj	o		interjection;
Conj	ose		conjunction;
Adv	para		adverb;
Prep	për	accusative	preposition, accusative;
Prep	për në	accusative	preposition, accusative;
Adv	përkundrazi		adverb;
Prep	përveç	ablative	preposition, ablative;
Adv	plot		adverb;
Conj	por		conjunction;
Conj	pra		conjunction;
Conj	që		conjunction;
Prep	që	accusative	preposition, accusative;
Conj	sa		conjunction;
Adv	sa		adverb;
Conj	se		conjunction;
Conj	sepse		conjunction;
Conj	si		conjunction;
Conj	sikur		conjunction;
Adv	sot		adverb;
Conj	t'i		"conjunction;
            contraction of"
Conj	t'ia		"conjunction;
            contraction of"
Conj	t'ju		"conjunction;
            contraction of"
Conj	ta		"conjunction;
            contraction of"
Adv	taman		adverb;
Adv	tani		adverb;
Conj	të		conjunction;
Adv	vetëm		adverb;
