lemma	category	gender	cases	observed_forms	descriptions
Epir	N	masculine		Epir,Epirit	noun, masculine; ablative singular definite of | noun, masculine; accusative singular indefinite of
Kosovë	N	feminine		Kosovës	noun, feminine; genitive singular definite of
Murat	N	masculine		Murati	noun, masculine; nominative singular definite of
Shqipëri	N	feminine		Shqipëri,Shqipërisë	noun, feminine; accusative singular indefinite of | noun, feminine; genitive singular definite of
aeroport	N	masculine		aeroportit	noun, masculine; genitive singular definite of
ai	Pron	feminine		ai,ajo,atij,e,i,saj	pronoun; accusative weak of | pronoun; dative of | pronoun; dative weak of | pronoun; feminine genitive of | pronoun; feminine nominative of | pronoun; masculine dative of | pronoun; masculine nominative of
armë	N	feminine		armët	noun, feminine; accusative plural definite of
asfalt	N	masculine		asfaltin	noun, masculine; accusative singular definite of
ata	Pron			i	pronoun; accusative weak of
atdhe	N	masculine		atdheut	noun, masculine; genitive singular definite of
barabartë	A	feminine		barabarta	adjective; feminine plural of
barazi	N	feminine		barazinë,barazisë	noun, feminine; accusative singular definite of | noun, feminine; genitive singular definite of
bashkë	Adv			bashkë	adverb;
bazohem	V			bazohet	verb; 3rd person singular present indicative non-active of
besnikëri	N	feminine		besnikërinë	noun, feminine; accusative singular definite of
beton	N	masculine		betonin	noun, masculine; accusative singular definite of
bie	V			binte	verb; 3rd person singular imperfect indicative active of
bisedim	N	masculine		bisedimet	noun, masculine; nominative plural definite of
boshnjak	A	feminine		boshnjake	adjective; feminine singular of
botëror	A	feminine		botërore	adjective; feminine singular of
breg	N	masculine		brigjet	noun, masculine; of nominative plural definite of
bukur	A	masculine		bukur	adjective; masculine singular of
cili	Pron	feminine		cilat	pronoun; feminine plural of | pronoun; nominative feminine plural of
cilido	A	masculine		cilindo	adjective; masculine accusative singular of
demokraci	N	feminine		demokracisë	noun, feminine; genitive singular definite of
demokratik	A	masculine		demokratik	adjective; masculine singular of
dhe	Conj			dhe	conjunction;
di	V			dinte	verb; 3rd person singular imperfect indicative active of
diell	N	masculine		diell	noun, masculine; accusative singular indefinite of
diçka	Pron			diçka	pronoun;
do	Marker			do	marker;
drejtë	N	feminine		drejtave,drejtë,drejtës	noun, feminine; accusative singular indefinite of | noun, feminine; genitive plural definite of | noun, feminine; genitive singular definite of
drejtësi	N	feminine		drejtësisë	noun, feminine; genitive singular definite of
duhem	V			duhet	verb; 3rd person singular present indicative non-active impersonal of
dukem	V			dukej,dukur	verb; 3rd person singular imperfect subjunctive non-active of | verb; participle of
dy	Det			dy	determiner;
dëborë	N	feminine		dëborë	noun, feminine; nominative singular indefinite of
e	Conj			e	conjunction;
e	Particle	feminine		e,i,së,të	particle; feminine accusative plural definite of | particle; feminine accusative plural indefinite of | particle; feminine accusative singular definite of | particle; feminine accusative singular indefinite of | particle; feminine genitive plural definite of | particle; feminine genitive singular definite of | particle; feminine nominative plural definite of | particle; feminine nominative singular definite of | particle; feminine nominative singular indefinite of | particle; feminine nominative singular of | particle; masculine ablative plural definite of | particle; masculine ablative singular definite of | particle; masculine accusative plural definite of | particle; masculine accusative singular definite of | particle; masculine accusative singular indefinite of | particle; masculine genitive plural definite of | particle; masculine genitive singular definite of | particle; masculine nominative plural definite of | particle; masculine nominative singular definite of | particle; masculine nominative singular indefinite of
edhe	Adv			edhe	adverb;
ekonomi	N	feminine		ekonomisë	noun, feminine; genitive singular definite of
ekonomik	A	feminine		ekonomike	adjective; feminine singular of
eshtër	N	feminine		eshtrave	noun, feminine; genitive plural definite of
fat	N	masculine		fati	noun, masculine; nominative singular definite of
femër	N	feminine		femrave	noun, feminine; genitive plural definite of
fillim	N	masculine		fillimi	noun, masculine; nominative singular definite of
filloj	V			fillojë,filluan,filluar	verb participle of; | verb; 3rd person plural past definite indicative active of | verb; 3rd person singular present subjunctive active of
fitore	N	feminine		fitoren	noun, feminine; accusative singular definite of
flaktë	A	feminine		flakta	adjective; feminine plural of
flamur	N	masculine		flamuri,flamurit	noun, masculine; genitive singular definite of | noun, masculine; nominative singular definite of
fund	N	masculine		fund	noun, masculine; accusative singular indefinite of
fundit	A	feminine		fundit	adjective; feminine singular of
fushë	N	feminine		fushat,fushën	noun, feminine; accusative plural definite of | noun, feminine; accusative singular definite of
gjeneral	N	masculine		gjenerali,gjeneralit	noun, masculine; ablative singular definite of | noun, masculine; nominative singular definite of
gjer	Prep		accusative	gjer	preposition, accusative;
gjinor	A	feminine		gjinore	adjective; feminine singular of
gjithmonë	Adv			gjithmonë,gjithëmonë	adverb;
gjuhë	N	feminine		gjuha,gjuhë,gjuhëve	noun, feminine; genitive plural indefinite of | noun, feminine; nominative plural indefinite of | noun, feminine; nominative singular definite of
gusht	N	masculine		gushtit	noun, masculine; genitive singular definite of
himn	N	masculine		himni	noun, masculine; nominative singular definite of
huaj	A	masculine		huaj	adjective; feminine singular of | adjective; masculine singular of
hyrje	N	feminine		hyrjes	noun, feminine; dative singular definite of
im	Pron	feminine		time	pronoun; feminine accusative singular of
jam	V			ishte,janë,jenë,është	verb; 3rd person plural present indicative active of | verb; 3rd person plural present subjunctive active of | verb; 3rd person singular imperfect indicative active of | verb; 3rd person singular imperfect indicative of | verb; 3rd person singular present indicative active of
jap	V			dhënë,jepte	verb; 3rd person singular imperfect subjunctive active of | verb; past definite participle of
jetë	N	feminine		jetën,jetës	noun, feminine; accusative singular definite of | noun, feminine; genitive singular definite of
ju	Pron			ju,juve	pronoun; dative of | pronoun; dative weak of | pronoun; nominative of
juaj	Pron			tuaj	pronoun; accusative singular of
kam	V			ka,kanë,kemi,kini,kishin,kishte	verb; 1st person plural present indicative active of | verb; 2nd person plural present indicative active of | verb; 3rd person plural imperfect indicative active of | verb; 3rd person plural present indicative active of | verb; 3rd person singular imperfect indicative active of | verb; 3rd person singular present indicative active of
karakter	N	masculine		karakterin	noun, masculine; accusative singular definite of
klimë	N	feminine		klimën	noun, feminine; accusative singular definite of
kohë	N	feminine		kohën	noun, feminine; accusative singular definite of
koicidencë	N	feminine		koicidencë	noun, feminine; nominative singular indefinite of
kombëtar	A	feminine		kombëtare	adjective; feminine plural of
komunë	N	feminine		komune	noun, feminine; ablative singular indefinite of
kontratë	N	feminine		kontratat	noun, feminine; accusative plural definite of
kryej	V	feminine		kryera	adjective; feminine plural participle of
kryhem	V			kryhej	verb; 3rd person singular imperfect subjunctive non-active of
kthen	V			ktheni	verb; 2nd person plural present subjunctive active of
kulturor	A	feminine		kulturore	adjective; feminine singular of
kundrejt	Prep		ablative	kundrejt	preposition, ablative;
kur	Adv			kur	adverb;
kushtetues	A	masculine		kushtetues	adjective, masculine singular of;
ky	Det	masculine		ky	determiner; masculine nominative of
ky	Pron	masculine		ky,kësaj,këtë	pronoun; feminine accusative of | pronoun; feminine genitive of | pronoun; masculine nominative of
këtu	Adv			këtu	adverb;
lag	V			lagte	verb; 3rd person singular imperfect indicative active of
lagët	A	feminine		lagët	adjective; feminine singular of
lart	A	feminine		lartë	adjective; feminine singular of
lavde	N	feminine		lavdet	noun, feminine; accusative plural definite of
lexoj	V			lexuar	verb; participle of
libër	N	masculine		librin	noun, masculine; accusative singular definite of
ligj	N	masculine		ligj,ligjit	noun, masculine; accusative singular indefinite of | noun, masculine; genitive singular definite of
liri	N	feminine		lirinë,lirisë,lirive	noun, feminine; accusative singular definite of | noun, feminine; genitive plural definite of | noun, feminine; genitive singular definite of
luftoj	V			luftoni,luftuar	verb; 2nd person plural present indicative active of | verb; participle of
luftë	N	feminine		luftra,luftën	noun, feminine; accusative plural indefinite of | noun, feminine; accusative singular definite of
lë	V			lënë	verb; participle of
madh	A	feminine		madh,madhe	adjective; feminine singular of | adjective; masculine singular of
mashkull	N	masculine		meshkujve	noun, masculine; genitive plural definite of
mbarë	Det			mbarë	determiner;
mbi	Prep		accusative	mbi	preposition, accusative;
mbretëri	N	feminine		mbretërisë	noun, feminine; genitive singular definite of
mbrojtje	N	feminine		mbrojtja,mbrojtjes	noun, feminine; genitive singular definite of | noun, feminine; nominative singular definite of
me	Prep		accusative	me	preposition, accusative;
meritoj	V			merituar	verb; participle of
midis	Prep		ablative	midis	preposition, ablative;
mirë	A	masculine		mirë	adjective; masculine singular of
mision	N	masculine		misioni	noun, masculine; nominative singular definite of
mjedis	N	masculine		mjedisit	noun, masculine; genitive singular definite of
monoton	V			monoton	verb; nominative singular of
mos	Adv			mos	adverb;
mos	Particle			mos	particle;
mosdiskriminim	N	masculine		mosdiskriminimit	noun, masculine; genitive singular definite of
mund	V			mund	verb; 3rd person singular present indicative active of
mundësi	N	feminine		mundësi	noun, feminine; accusative plural indefinite of
mur	N	masculine		muret	noun, masculine; accusative plural definite of
më	Adv			më	adverb;
mënyrë	N	feminine		mënyra	noun, feminine; nominative singular definite of
mësoj	V			mësuar	verb; participle of
ndarje	N	masculine		ndarjes	noun, masculine; genitive singular definite of
nder	N	masculine		nderin	noun, masculine; accusative singular definite of
ndërsë	N	feminine		ndërtesat	noun, feminine; accusative plural definite of
ne	Pron			ne	pronoun; nominative of
nga	Prep		nominative	nga	preposition, nominative;
nisem	V			nisej	verb; 3rd person singular imperfect indicative non-active of
nivel	N	masculine		nivel	noun, masculine; accusative singular indefinite of
njeri	N	masculine		njeriu,njeriut	noun, masculine; genitive singular definite of | noun, masculine; nominative singular definite of
një	Det			një	determiner;
nuk	Adv			nuk	adverb;
në	Prep		accusative	në	preposition, accusative;
nën	Prep		accusative	nën	preposition, accusative;
nënshkruaj	V			nënshkruan	verb; 3rd person plural past definite indicative active of
o	Interj			o	interjection;
ose	Conj			ose	conjunction;
pajtim	N	masculine		pajtim	noun, masculine; accusative singular indefinite of
pamje	N	feminine		pamja	noun, feminine; nominative singular definite of
pamundur	A	feminine		pamundur	adjective; feminine singular of
papritur	A	masculine		papritur	adjective; masculine singular of
paqe	N	feminine		paqes	noun, feminine; genitive singular definite of
para	Adv			para	adverb;
parim	N	masculine		parimet	noun, masculine; accusative plural definite of
parë	A	feminine		para	adjective; feminine plural of
pasqyroj	V			pasqyrojnë	verb; 3rd person plural present indicative active of
pistë	N	feminine		pistës	noun, feminine; genitive singular definite of
pjesë	N	feminine		pjesën	noun, feminine; accusative singular definite of
pjesëmarrje	N	feminine		pjesëmarrje	noun, feminine; accusative singular indefinite of
plogështi	N	feminine		plogështia	noun, feminine; nominative singular definite of
plot	Adv			plot	adverb;
pluralizm	N	masculine		pluralizmit	noun, masculine; genitive singular definite of
po	Marker			po	marker;
politik	A	feminine		politike	adjective; feminine singular of
por	Conj			por	conjunction;
porsaardhur	A	masculine		porsaardhur	adjective; masculine singular of
pra	Conj			pra	conjunction;
pranvëre	N	feminine		pranverë	noun, feminine; accusative singular indefinite of
pronë	N	feminine		pronës	noun, feminine; genitive singular definite of
pushtet	N	masculine		pushtetit	noun, masculine; genitive singular definite of
pëkundrazi	Adv			përkundrazi	adverb;
për	Prep		accusative	për	preposition, accusative;
për në	Prep		accusative	për në	preposition, accusative;
përdorim	N	masculine		përdorim,përdorimit	noun, masculine; accusative singular indefinite of | noun, masculine; genitive singular definite of
përfundimtar	A	feminine		përfundimtare	adjective; feminine plural of
përpiqem	V			përpiqeni	verb; 2nd person plural present subjunctive non-active of
përveç	Prep		ablative	përveç	preposition, ablative;
përziej	V	masculine		përzier	adjective; masculine plural participle of
qeveri	N	feminine		qeverive	noun, feminine; ablative plural definite of
qull	V			qullur	verb; participle of
që	Conj			që	conjunction;
që	Prep		accusative	që	preposition, accusative;
rast	N	masculine		rast	noun, masculine; accusative singular indefinite of
rend	N	masculine		rendi	noun, masculine; nominative singular definite of
republikë	N	feminine		Republikës,republika,republikën,republikës	noun, feminine; accusative singular definite of | noun, feminine; genitive singular definite of | noun, feminine; nominative singular definite of
respektim	N	masculine		respektimit	noun, masculine; genitive singular definite of
rojë	N	feminine		rojat	noun, feminine; accusative plural definite of
rom	A	feminine		rome	adjective; feminine singular of
rregullohem	V			rregullohen,rregullohet	verb; 3rd person plural present indicative non-active of | verb; 3rd person singular present indicative non-active of
rrëmbej	V			rrëmbeni	verb; 2nd person plural present subjunctive active of
sa	Adv			sa	adverb;
sa	Conj			sa	conjunction;
se	Conj			se	conjunction;
sepse	Conj			sepse	conjunction;
serb	A	feminine		serbe	adjective; feminine singular of
shetëror	A	masculine		shtetëror	adjective; masculine singular of
shi	N	masculine		shi,shiu	noun, masculine; accusative singular indefinite of | noun, masculine; nominative singular definite of | noun, masculine; nominative singular indefinite of
shkak	N	masculine		shkaku	noun, masculine; nominative singular definite of
shkruhem	V			shkruhej	verb; 3rd person singular imperfect subjunctive non-active of
shkëlqej	V			shkëlqente	verb, 3rd person singular imperfect indicative active of;
shoqëri	N	feminine		shoqërisë	noun feminine; genitive singular definite of
shoqëror	A	feminine		shoqërore	adjective; feminine singular of
shpëtim	N	masculine		shpëtimin	noun, masculine; accusative singular definite of
shqip	A	feminine		shqipe	adjective; feminine singular of
shtet	N	masculine		shtet	noun, masculine; nominative singular indefinite of
shtetëror	A	feminine		shtetërore	adjective; feminine plural of
shumetnik	A	masculine		shumetnik	adjective; masculine singular of
shëmbëllë	N	feminine		shëmbëllën	noun, feminine; accusative singular definite of
si	Conj			si	conjunction;
siguroj	V			siguron	verb; 3rd person singular present indicative active of
sikur	Conj			sikur	conjunction;
simbol	N	ambigeneric		simbolet,simboleve	noun, ambigeneric; genitive plural definite of | noun, ambigeneric; nominative plural definite of
social	A	feminine		sociale	adjective; feminine singular of
sot	Adv			sot	adverb;
sqotë	N	feminine		sqota	noun, feminine; nominative singular definite of
status	N	masculine		statusin	noun, masculine; accusative singular definite of
stemë	N	feminine		stema	noun, feminine; nominative singular definite of
sukses	N	masculine		sukses	noun, masculine; accusative singular indefinite of
sundim	N	masculine		sundimit	noun, masculine; genitive singular definite of
svetigradas	N	masculine		sfetigradas	noun, masculine; nominative plural indefinite of
taman	Adv			taman	adverb;
tani	Adv			tani	adverb;
thatë	A	feminine		thatë	adjective; feminine singular of
themelor	A	feminine		themelore	adjective; feminine singular of
tij	Det	masculine		tij	determiner; masculine accusative singular of | determiner; masculine nominative singular of
tjetër	A	masculine		tjera,tjetër	adjective; feminine plural of | adjective; masculine singular of
tjetër	N	masculine		tjerave	noun, masculine; ablative plural definite of
tokë	N	feminine		tokën	noun, feminine; accusative singular definite of
treg	N	masculine		tregut	noun, masculine; genitive singular definite of
trishtuar	A	feminine		trishtuar	adjective; feminine singular of
turk	A	feminine		turke	adjective; feminine singular of
turp	N	masculine		turp	noun, masculine; accusative singular indefinite of
të	Conj			t'i,t'ia,t'ju,ta,të	conjunction; | conjunction; contraction of
tërheqje	N	feminine		tërheqjen	noun, feminine; accusative singular definite of
u	Marker			u	marker;
udhëheqje	N	feminine		udhëheqjen	noun, feminine; accusative singular definite of
unë	Pron			meje	pronoun; ablative of
ushtar	N	masculine		ushtarët,ushtarëve	noun, masculine; accusative plural definite of | noun, masculine; genitive plural definite of
varem	V			varet	verb; 3rd person singular present indicative non-active of
vetëm	Adv			vetëm	adverb;
vij	V			vinte	verb; 3rd person singular imperfect indicative active of
vjeshtë	N	feminine		vjeshta,vjeshtë,vjeshtës	noun, feminine; genitive singular definite of | noun, feminine; nominative singular definite of | noun, feminine; nominative singular indefinite of
vlerë	N	feminine		vlerë	noun, feminine; accusative singular indefinite of
vranësirë	N	feminine		vranësirat	noun, feminine; nominative plural definite of
vras	V	masculine		vrarë	adjective; masculine plural participle of
vulos	V	masculine		vulosur	adjective; masculine singular participle of
vërtetë	A	masculine		vërtetë	adjective; masculine singular of
xhade	N	feminine		xhadesë	noun, feminine; genitive singular definite of
zhvillim	N	masculine		zhvillimin	noun, masculine; accusative singular definite of
zi	A	masculine		zi	adjective; masculine singular of
zjarrtë	A	masculine		zjarrtë	adjective; masculine plural of
zot	N	masculine		Zoti	noun, masculine; nominative singular definite of
zyrtar	A	feminine		zyrtar,zyrtare	adjective; feminine plural of | adjective; masculine singular of
zëmër	N	feminine		zëmrat	noun, feminine; accusative plural definite of
çdo	Det			çdo	determiner;
